School,In person class preference (Yes or No),How do you like school so far (1-5),Response date,How do you like your professors so far (1-5)
UT Austin,No,1,2022/2/2,1
NTU,No,1,2022/2/2,1
UT Austin,No,1,2022/2/2,1
UC Berkeley,Yes,1,2022/2/2,3
UT Austin,No,1,2022/2/2,1
UT Austin,Yes,1,2022/2/2,2
UT Austin,No,2,2022/2/2,1
UT Austin,No,2,2022/2/2,1
BU,No,2,2022/2/2,2
UT Austin,No,2,2022/2/2,5
UT Austin,No,3,2022/2/2,5
UT Austin,Yes,4,2022/2/2,3
UT Austin,Yes,4,2022/2/2,1
Northwestern,Yes,5,2022/2/2,2
UT Austin,Yes,5,2022/2/2,2
UT Austin,Yes,5,2022/2/2,5
UT Austin,No,1,2022/2/3,1
UT Austin,No,2,2022/2/3,2
UT Austin,No,2,2022/2/3,1
NTU,No,2,2022/2/3,2
UT Austin,No,2,2022/2/3,1
UT Austin,No,2,2022/2/3,1
UT Austin,No,2,2022/2/3,2
UT Austin,No,2,2022/2/3,2
UC Berkeley,No,2,2022/2/3,3
UT Austin,No,2,2022/2/3,3
UT Austin,No,2,2022/2/3,3
UC Berkeley,Yes,2,2022/2/3,3
UT Austin,Yes,2,2022/2/3,1
UT Austin,Yes,2,2022/2/3,5
UC Berkeley,Yes,2,2022/2/3,5
UC Irvine,Yes,2,2022/2/3,1
UT Austin,Yes,3,2022/2/3,5
UT Austin,Yes,3,2022/2/3,2
BU,Yes,3,2022/2/3,2
UT Austin,No,4,2022/2/3,3
UT Austin,Yes,4,2022/2/3,4
UT Austin,Yes,4,2022/2/3,5
UAL,Yes,4,2022/2/3,4
UT Austin,Yes,4,2022/2/3,4
UT Austin,No,4,2022/2/3,4
Northwestern,Yes,4,2022/2/3,5
UT Austin,Yes,4,2022/2/3,5
UT Austin,Yes,5,2022/2/3,5
NTU,Yes,5,2022/2/3,4
UT Austin,Yes,5,2022/2/3,5
UT Austin,No,1,2022/2/4,1
UT Austin,Yes,1,2022/2/4,3
UT Austin,No,1,2022/2/4,2
UT Austin,No,1,2022/2/4,2
UT Austin,No,2,2022/2/4,4
UT Austin,No,2,2022/2/4,2
UT Austin,No,2,2022/2/4,2
UT Austin,Yes,4,2022/2/4,4
NYU,Yes,4,2022/2/4,3
UT Austin,Yes,4,2022/2/4,3
UT Austin,Yes,4,2022/2/4,5
UT Austin,Yes,4,2022/2/4,5
BU,Yes,5,2022/2/4,5
Upenn,Yes,5,2022/2/4,5
UT Austin,Yes,5,2022/2/4,5
UT Austin,No,5,2022/2/4,5
UT Austin,No,1,2022/2/5,1
UT Austin,No,1,2022/2/5,3
UT Austin,No,1,2022/2/5,2
BU,No,1,2022/2/5,1
UT Austin,No,1,2022/2/5,1
UT Austin,No,1,2022/2/5,2
UT Austin,No,1,2022/2/5,1
UT Austin,No,1,2022/2/5,1
UT Austin,No,1,2022/2/5,1
UT Austin,No,2,2022/2/5,2
UT Austin,No,2,2022/2/5,1
UT Austin,No,2,2022/2/5,3
UT Austin,No,2,2022/2/5,4
UT Austin,No,3,2022/2/5,3
Arizona State University,No,3,2022/2/5,2
UT Austin,No,3,2022/2/5,2
UT Austin,Yes,3,2022/2/5,5
UT Austin,Yes,3,2022/2/5,5
UAL,Yes,3,2022/2/5,2
UT Austin,Yes,3,2022/2/5,4
NYU,Yes,5,2022/2/5,4
UT Austin,Yes,5,2022/2/5,5
UT Austin,Yes,5,2022/2/5,5
UT Austin,Yes,5,2022/2/5,4
UT Austin,No,1,2022/2/6,2
NYU,No,1,2022/2/6,2
UT Austin,No,1,2022/2/6,1
UT Austin,No,1,2022/2/6,3
UT Austin,No,1,2022/2/6,1
UT Austin,No,1,2022/2/6,1
UT Austin,No,1,2022/2/6,2
UT Austin,No,1,2022/2/6,1
UT Austin,No,2,2022/2/6,5
UC Irvine,Yes,2,2022/2/6,1
UT Austin,No,2,2022/2/6,1
UT Austin,No,2,2022/2/6,1
UT Austin,Yes,2,2022/2/6,2
UT Austin,No,2,2022/2/6,4
UT Austin,No,3,2022/2/6,1
UT Austin,No,3,2022/2/6,3
UT Austin,Yes,3,2022/2/6,1
NTU,Yes,3,2022/2/6,3
UT Austin,Yes,3,2022/2/6,3
BU,Yes,3,2022/2/6,3
UT Austin,Yes,4,2022/2/6,5
UT Austin,Yes,4,2022/2/6,5
UT Austin,Yes,4,2022/2/6,4
BC,Yes,4,2022/2/6,5
UT Austin,Yes,4,2022/2/6,5
UT Austin,Yes,4,2022/2/6,5
Stanford University,Yes,4,2022/2/6,1
UT Austin,No,4,2022/2/6,4
UT Austin,Yes,5,2022/2/6,3
UT Austin,Yes,5,2022/2/6,3
UT Austin,Yes,5,2022/2/6,5
Upenn,No,5,2022/2/6,5
UT Austin,Yes,5,2022/2/6,5
UT Austin,Yes,5,2022/2/6,5
UT Austin,Yes,5,2022/2/6,1
